gene,residual_baseline_cindex,residual_perturbed_cindex_mean,residual_perturbed_cindex_std,residual_delta_cindex_mean,residual_delta_cindex_std,residual_method,residual_n_repeats,gated_baseline_cindex,gated_perturbed_cindex_mean,gated_perturbed_cindex_std,gated_delta_cindex_mean,gated_delta_cindex_std,gated_method,gated_n_repeats,max_delta_cindex,mean_delta_cindex
LOC644617,0.6623070974683118,0.661594324715059,0.0004522791035416852,0.0007127727532528771,0.0004522791035416852,shuffle,10,0.6660054466597183,0.6660962243216891,0.00020231565589657358,-9.077766197085335e-05,0.00020231565589657358,shuffle,10,0.0007127727532528771,0.0003109975456410119
ABHD12,0.6623070974683118,0.6615943247150591,0.00037099456609309973,0.0007127727532527661,0.00037099456609309973,shuffle,10,0.6660054466597183,0.6664996805971153,0.0003903698638864714,-0.0004942339373970039,0.0003903698638864714,shuffle,10,0.0007127727532527661,0.00010926940792788109
DCAF12L2,0.6623070974683118,0.6616044111219447,0.00036874826988184215,0.0007026863463671651,0.00036874826988184215,shuffle,10,0.6660054466597183,0.6661567427630031,0.00022864994299053544,-0.0001512961032847926,0.00022864994299053544,shuffle,10,0.0007026863463671651,0.00027569512154118625
OPHN1,0.6623070974683118,0.6616111353932018,0.0005571516268466631,0.0006959620751100237,0.0005571516268466631,shuffle,10,0.6660054466597183,0.666082775779175,0.0001792052983389226,-7.732911945668164e-05,0.0001792052983389226,shuffle,10,0.0006959620751100237,0.00030931647782667104
OR4X1,0.6623070974683118,0.661631308206973,0.0004887139101788198,0.0006757892613388217,0.0004887139101788198,shuffle,10,0.6660054466597183,0.6661735534411457,0.00042474832255934807,-0.00016810678142742397,0.00042474832255934807,shuffle,10,0.0006757892613388217,0.00025384123995569885
ALDH3B1,0.6623070974683118,0.6616380324782302,0.0005323334223795129,0.0006690649900816803,0.0005323334223795129,shuffle,10,0.6660054466597183,0.6659684631678041,0.00032158963494599053,3.69834919141665e-05,0.00032158963494599053,shuffle,10,0.0006690649900816803,0.0003530242409979234
GNRHR,0.6623070974683118,0.6616481188851158,0.00046785660590523376,0.0006589785831960793,0.00046785660590523376,shuffle,10,0.6660054466597183,0.6662038126618028,0.00032991785671192974,-0.00019836600208456012,0.00032991785671192974,shuffle,10,0.0006589785831960793,0.00023030629055575957
TRIML2,0.6623070974683118,0.6616514810207443,0.0003930248828407021,0.0006556164475675086,0.0003930248828407021,shuffle,10,0.6660054466597183,0.6659919981172041,9.533299854593638e-05,1.3448542514171713e-05,9.533299854593638e-05,shuffle,10,0.0006556164475675086,0.00033453249504084015
ITPRID2,0.6623070974683118,0.6616548431563729,0.000375657538875392,0.0006522543119389379,0.000375657538875392,shuffle,10,0.6660054466597183,0.6661096728642033,0.0002160417419415379,-0.00010422620448502506,0.0002160417419415379,shuffle,10,0.0006522543119389379,0.0002740140537269564
ENPP3,0.6623070974683118,0.6616649295632584,0.0007969679936035414,0.0006421679050534479,0.0007969679936035414,shuffle,10,0.6660054466597183,0.6661029485929463,0.00035659248572104745,-9.750193322799472e-05,0.00035659248572104745,shuffle,10,0.0006421679050534479,0.0002723329859127266
EIF2B2,0.6623070974683118,0.6616649295632586,0.0003329872433812587,0.0006421679050532259,0.0003329872433812587,shuffle,10,0.6660054466597183,0.6656456981474632,0.0004666106473525126,0.00035974851225506477,0.0004666106473525126,shuffle,10,0.0006421679050532259,0.0005009582086541453
HP1BP3,0.6623070974683118,0.6616884645126584,0.0005959995913300193,0.0006186329556534531,0.0005959995913300193,shuffle,10,0.6660054466597183,0.6660827757791749,0.0002689918628110054,-7.732911945657062e-05,0.0002689918628110054,shuffle,10,0.0006186329556534531,0.00027065191809844125
STK33,0.6623070974683118,0.6617019130551726,0.0004653856429545751,0.0006051844131392814,0.0004653856429545751,shuffle,10,0.6660054466597183,0.6660222573378609,0.0001793314104575042,-1.6810678142631374e-05,0.0001793314104575042,shuffle,10,0.0006051844131392814,0.000294186867498325
OGN,0.6623070974683118,0.6617052751908011,0.0004903303374666411,0.0006018222775107107,0.0004903303374666411,shuffle,10,0.6660054466597183,0.6659550146252899,0.00025394698047649997,5.043203442833821e-05,0.00025394698047649997,shuffle,10,0.0006018222775107107,0.00032612715596952446
PSAP,0.6623070974683118,0.6617086373264296,0.00029762022628962496,0.000598460141882251,0.00029762022628962496,shuffle,10,0.6660054466597183,0.6659583767609185,0.00016621332204966936,4.706989879976753e-05,0.00016621332204966936,shuffle,10,0.000598460141882251,0.0003227650203410093
METTL21EP,0.6623070974683118,0.6617119994620582,0.0005776712599969821,0.0005950980062536804,0.0005776712599969821,shuffle,10,0.6660054466597183,0.6658944961839761,0.000326335056854992,0.00011095047574216643,0.000326335056854992,shuffle,10,0.0005950980062536804,0.0003530242409979234
CLNS1A,0.6623070974683118,0.6617119994620583,0.0002050902733416214,0.0005950980062535693,0.0002050902733416214,shuffle,10,0.6660054466597183,0.6655549204854923,0.00025213775690753257,0.00045052617422602914,0.00025213775690753257,shuffle,10,0.0005950980062535693,0.0005228120902397992
C20orf194,0.6623070974683118,0.6617220858689439,0.00030931647782671013,0.0005850115993679683,0.00030931647782671013,shuffle,10,0.6660054466597183,0.666052516558518,0.00023010373711148714,-4.706989879976753e-05,0.00023010373711148714,shuffle,10,0.0005850115993679683,0.0002689708502841004
FAM171A2,0.6623070974683118,0.6617355344114582,0.00046756658215222973,0.0005715630568536856,0.00046756658215222973,shuffle,10,0.6660054466597183,0.6656356117405775,0.0003503726045150148,0.0003698349191407768,0.0003503726045150148,shuffle,10,0.0005715630568536856,0.0004706989879972312
SULT1E1,0.6623070974683118,0.6617355344114582,0.00016810678142755052,0.0005715630568536856,0.00016810678142755052,shuffle,10,0.6660054466597183,0.665827253471405,0.00044018304094435096,0.00017819318831324704,0.00044018304094435096,shuffle,10,0.0005715630568536856,0.0003748781225834663
NUB1,0.6623070974683118,0.661759069360858,0.0006624431109800414,0.0005480281074538018,0.0006624431109800414,shuffle,10,0.6660054466597183,0.6662307097468311,0.0002788951794693264,-0.00022526308711279253,0.0002788951794693264,shuffle,10,0.0005480281074538018,0.00016138251017050464
FGF2,0.6623070974683118,0.6617624314964865,0.0003728182436372648,0.0005446659718253422,0.0003728182436372648,shuffle,10,0.6660054466597183,0.665918031133376,0.00022057249728483472,8.741552634228267e-05,0.00022057249728483472,shuffle,10,0.0005446659718253422,0.0003160407490838124
OR6C68,0.6623070974683118,0.6617624314964865,0.00042866899641619727,0.0005446659718253422,0.00042866899641619727,shuffle,10,0.6660054466597183,0.6662576068318595,0.00043010375456489124,-0.000252160172141247,0.00043010375456489124,shuffle,10,0.0005446659718253422,0.0001462528998420476
