layer,head,gene,mean_attention_score
0,0,BAP1,0.002046789973974228
0,0,COX6B1,0.0019880030304193497
0,0,COPZ1,0.0020372234284877777
0,0,FARSB,0.0019769419450312853
0,0,A1CF,0.001996577950194478
0,0,C21orf30,0.0020054487977176905
0,0,FDCSP,0.0019904612563550472
0,0,C11orf96,0.0019707551691681147
0,0,QPRT,0.0019718557596206665
0,0,TXN2,0.001998900668695569
0,0,CNNM1,0.0019709193147718906
0,0,HLCS,0.002004560548812151
0,0,NACC2,0.0019684284925460815
0,0,SYDE2,0.0019844798371195793
0,0,SLX1A,0.0020454644691199064
0,0,SLITRK3,0.0019747340120375156
0,0,SLC9B1,0.0019716841634362936
0,0,FGL1,0.0020226186607033014
0,0,UQCRB,0.0019780248403549194
0,0,CD177,0.001998596591874957
0,0,TRPC5OS,0.001997709274291992
0,0,SLC13A4,0.001973171718418598
0,0,RHBDL1,0.002005909802392125
0,0,KCMF1,0.002011024160310626
0,0,RETN,0.0020001232624053955
0,0,ZPBP2,0.0019781026057899
0,0,KCNJ12,0.0019740501884371042
0,0,RELB,0.0020278433803468943
0,0,CUL5,0.002014981349930167
0,0,IQSEC2,0.001979665132239461
0,0,RNF103,0.002037098165601492
0,0,OAT,0.0019837955478578806
0,0,APOA2,0.0020398530177772045
0,0,ZFP14,0.0020191622897982597
0,0,SERF1B,0.0019758890848606825
0,0,GRIK3,0.0020249919034540653
0,0,LINGO4,0.0020686492789536715
0,0,PRKCQ,0.0019763153977692127
0,0,CHGA,0.0020229851361364126
0,0,NPAS3,0.0020027454011142254
0,0,SOX8,0.0019746434409171343
0,0,FUBP3,0.0019793680403381586
0,0,SPATA21,0.002016910817474127
0,0,CBX8,0.0019845389761030674
0,0,LOC389834,0.002024965127930045
0,0,ZDHHC11,0.0020131533965468407
0,0,GPLD1,0.0019929702393710613
0,0,EIF1,0.0019952734000980854
0,0,AURKAIP1,0.001963257323950529
0,0,TMEM71,0.0019902116619050503
0,0,BTD,0.001978491432964802
0,0,PRPH2,0.0019924314692616463
0,0,LINC01116,0.0020052059553563595
0,0,AGMAT,0.001968295546248555
0,0,CHD3,0.002044291701167822
0,0,TNFSF9,0.0019792120438069105
0,0,GRIA3,0.0019924736116081476
0,0,ZFC3H1,0.0019792933017015457
0,0,EEF1DP3,0.001978691667318344
0,0,EDF1,0.0019845778588205576
0,0,NFKBIB,0.002054929733276367
0,0,LINC02349,0.002027328358963132
0,0,VKORC1,0.001992645673453808
0,0,GPR61,0.0020223227329552174
0,0,FAM118A,0.00200650910846889
0,0,NUMBL,0.001992992591112852
0,0,ZNF773,0.002012656070291996
0,0,APEX1,0.00197809049859643
0,0,GTF2A1L,0.0020525881554931402
0,0,SSTR2,0.0019868577364832163
0,0,MSH6,0.0019790963269770145
0,0,LOC100128563,0.002022610744461417
0,0,BZW2,0.001984064234420657
0,0,TOLLIP,0.0020002126693725586
0,0,GRHL3,0.001994479913264513
0,0,GPRC5B,0.002011751290410757
0,0,GALNS,0.0019788751378655434
0,0,NPB,0.001971691846847534
0,0,P4HTM,0.001986273331567645
0,0,GSK3A,0.001966017996892333
0,0,DSG2,0.0019608803559094667
0,0,ADSL,0.0019608698785305023
0,0,ZNF563,0.001986901508644223
0,0,TOB2,0.002032569143921137
0,0,TOB1,0.0020417862106114626
0,0,LOC100288336,0.0019734103698283434
0,0,LOC100288069,0.0020626154728233814
0,0,LOC284861,0.001996608218178153
0,0,TOMM5,0.0020035903435200453
0,0,CENPL,0.001984155038371682
0,0,SLC34A3,0.0020030278246849775
0,0,NCSTN,0.0019835324492305517
0,0,SLC38A7,0.002021615393459797
0,0,ARPC5,0.0019966731779277325
0,0,FAM171A2,0.0019859634339809418
0,0,FAM136A,0.0019735039677470922
0,0,PRSS3P2,0.0020078483503311872
