covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
YWHAEP7,0.025607737433552186,1.0259384322901202,0.023449843514627675,-0.02035311129821822,0.07156858616532259,0.9798526151828245,1.0741918228727907,0.0,1.092021676715175,0.2748235734785023,1.863422335702658
CPLX3,0.025586524078035338,1.0259166689242556,0.02404434244881263,-0.021539521153585022,0.0727125693096557,0.9786907977154897,1.0754213833760897,0.0,1.0641390644184103,0.2872657065234533,1.7995423191473454
BFSP2,0.025474401015973237,1.0258016464543713,0.023797398994008883,-0.02116764393801389,0.07211644596996036,0.9790548182055171,1.0747804906339915,0.0,1.0704699712093135,0.2844078185201616,1.8139669689412161
H2BC7,0.025440668142424648,1.0257670438007724,0.024533973034405056,-0.02264503540268613,0.07352637168753542,0.9776094389320558,1.0762969200637025,0.0,1.0369567173954293,0.29975602919612354,1.7381393230531341
NDC1,0.025342764481099,1.0256666223674102,0.02560053645959567,-0.024833364964613056,0.07551889392681106,0.9754724463716186,1.0784436035600764,0.0,0.9899309930905744,0.32220784941941527,1.633936454410462
CDH6,0.025169931685461677,1.0254893688557258,0.025145500188831608,-0.024114343057893405,0.07445420642881675,0.9761740846463778,1.0772960091611843,0.0,1.0009716051160884,0.3168405362994593,1.6581711705272597
SLC28A1,0.024879352535321995,1.0251914263164879,0.025114204592475542,-0.024343583966300493,0.07410228903694449,0.9759503312601446,1.0769169566608616,0.0,0.9906486364603436,0.32185717983173456,1.6355074427490661
FOXR1,0.024700119087065958,1.02500769418799,0.023375730311743614,-0.02111547043627278,0.0705157086104047,0.9791059002563325,1.0730614256021942,0.0,1.0566565731919397,0.2906683511438445,1.7825540998958953
ZSCAN1,0.024598449336323335,1.024903487208651,0.02391250705455513,-0.02226920327066469,0.07146610194331136,0.9779769250239888,1.0740817408004668,0.0,1.028685502536529,0.3036274846115946,1.7196257042718877
FGF2,0.02453479984322397,1.0248382546972448,0.02426578198904291,-0.023025258912000853,0.07209485859844879,0.977237799497948,1.074757289198677,0.0,1.0110863047522034,0.311975124559713,1.6804970949827291
MTG2,0.024291689976629494,1.0245891366886142,0.024266593019000998,-0.02326995836810356,0.07185333832136255,0.9769986991949778,1.0744977448642605,0.0,1.0010342184256704,0.3168102655130868,1.658309011474645
IL12A,0.024268350451493368,1.0245652235437661,0.024331475221849686,-0.023420464674060736,0.07195716557704747,0.9768516657948416,1.074609312808146,0.0,0.9974056332474395,0.3185676581084095,1.6503282870794822
ZNF354C,0.02421227036549243,1.0245077674490026,0.023342314195945735,-0.02153782477437924,0.0699623655053641,0.978692457947616,1.072467818710339,0.0,1.0372694910300622,0.29961028010795765,1.7388409690669042
