epoch,train_loss,total_loss,gate_penalty,train_cindex,lr,val_loss,val_cindex,epoch_time_sec,elapsed_time_min
31,6.366004467010498,6.366004467010498,0.0,0.7365545990359731,0.0003,4.890098571777344,0.6289488421121981,0.02917647361755371,0.015101957321166991
32,6.3569183349609375,6.3569183349609375,0.0,0.7429417300603874,0.0003,4.886871814727783,0.6302006127087657,0.0294644832611084,0.015593071778615316
33,6.344810962677002,6.344810962677002,0.0,0.7494118108383656,0.0003,4.88360595703125,0.6328359192278552,0.029671192169189453,0.01608762741088867
34,6.335738182067871,6.335738182067871,0.0,0.7562890994974754,0.0003,4.880002021789551,0.6341206311559113,0.028498172760009766,0.01656264066696167
35,6.29462194442749,6.29462194442749,0.0,0.7634031719985763,0.0003,4.876358509063721,0.6369535856639326,0.028789758682250977,0.017042509714762368
36,6.301482677459717,6.301482677459717,0.0,0.7698823018405796,0.0003,4.8728861808776855,0.63916065487367,0.02987527847290039,0.01754046678543091
37,6.296342849731445,6.296342849731445,0.0,0.7763312681358325,0.0003,4.869752883911133,0.6406759561221465,0.03215193748474121,0.018076372146606446
38,6.294458866119385,6.294458866119385,0.0,0.7829416094062004,0.0003,4.866350173950195,0.6420265507131798,0.03043222427368164,0.018583619594573976
39,6.26652193069458,6.26652193069458,0.0,0.7898807333361486,0.0003,4.862493515014648,0.6447277398952466,0.03008270263671875,0.01908503770828247
40,6.237601280212402,6.237601280212402,0.0,0.796739923867208,0.0003,4.859019756317139,0.6479559903811312,0.030054092407226562,0.019585978984832764
41,6.212800025939941,6.212800025939941,0.0,0.8034633784378903,0.0003,4.855897426605225,0.6500971769278914,0.03046870231628418,0.020095411936442056
42,6.193548679351807,6.193548679351807,0.0,0.8097585106447156,0.0003,4.853575229644775,0.6514148301874362,0.028729677200317383,0.020574279626210532
43,6.197579860687256,6.197579860687256,0.0,0.8157384337879985,0.0003,4.85158109664917,0.6529960140988899,0.02857351303100586,0.02105054457982381
44,6.168706893920898,6.168706893920898,0.0,0.8213111490501499,0.0003,4.849337577819824,0.6536548407286622,0.029192686080932617,0.02153712511062622
