gene,residual_score,residual_std,gated_score,gated_std,residual_rank,gated_rank,rank_diff,abs_rank_diff
DCST1,0.64145195,0.12715131,0.5217853,0.083383575,147.0,1410.0,-1263.0,1263.0
CYBC1,0.6407003,0.1334923,0.46674544,0.11397285,148.0,2326.0,-2178.0,2178.0
FAM151B,0.640494,0.12858202,0.6427788,0.082314275,149.0,99.0,50.0,50.0
CSPG4,0.64035094,0.11123906,0.4316561,0.0931493,150.0,2668.0,-2518.0,2518.0
NADSYN1,0.64001197,0.13106118,0.49620625,0.087303035,151.0,1854.0,-1703.0,1703.0
FILIP1,0.6399407,0.11992306,0.39715546,0.075875126,152.0,2879.0,-2727.0,2727.0
MRPL58,0.63966304,0.16419217,0.46170107,0.10166654,153.0,2386.0,-2233.0,2233.0
CDC20B,0.6393062,0.11564864,0.54572314,0.094133906,154.0,1042.0,-888.0,888.0
SPATA4,0.6386239,0.1809525,0.69158065,0.10652367,155.0,13.0,142.0,142.0
RNF135,0.6384941,0.17435046,0.64430296,0.08415583,156.0,93.0,63.0,63.0
LINC01667,0.6384494,0.13346969,0.5920473,0.11837489,157.0,444.0,-287.0,287.0
MRPL27,0.6381343,0.11776137,0.45442575,0.08894846,158.0,2481.0,-2323.0,2323.0
TULP1,0.63784784,0.11747128,0.3657989,0.10855108,159.0,2973.0,-2814.0,2814.0
LINC00652,0.6378296,0.13885318,0.4759776,0.08594127,160.0,2196.0,-2036.0,2036.0
NAP1L2,0.63777626,0.101239204,0.52582455,0.109962896,161.0,1342.0,-1181.0,1181.0
LINC01364,0.6377343,0.11152653,0.5146224,0.110444225,162.0,1538.0,-1376.0,1376.0
TRIM34,0.63763815,0.119245045,0.6036639,0.09138576,163.0,334.0,-171.0,171.0
EAF2,0.63761204,0.10653273,0.47268084,0.079728454,164.0,2248.0,-2084.0,2084.0
MAP1B,0.63756114,0.1359395,0.54132926,0.08089486,165.0,1099.0,-934.0,934.0
PHTF2,0.63723874,0.09617336,0.5970116,0.083812326,166.0,394.0,-228.0,228.0
CASKIN1,0.6363892,0.14274225,0.49023187,0.11005075,167.0,1975.0,-1808.0,1808.0
