gene,mean_gate_score,std_gate_score
TTF2,0.5777238,0.108112425
RPTOR,0.577638,0.09073192
SPOPL,0.5776162,0.10278242
OR9G1,0.5775623,0.08431233
ECD,0.5774282,0.08312416
MED13L,0.5773159,0.08218264
TXN2,0.5772834,0.07603469
FAM185A,0.57717323,0.08718164
LINC00273,0.57690865,0.06893591
PRKCQ,0.57680476,0.09313497
HDAC7,0.5768004,0.08646043
DAG1,0.57679296,0.08987055
LACTB2,0.5766871,0.0820236
LYSMD2,0.5765674,0.12032041
AFM,0.5764574,0.09203056
CD5,0.57628477,0.08422411
EIF3J,0.5762795,0.08526152
SMIM26,0.5762598,0.098398924
PFDN5,0.5761071,0.14553538
PLD4,0.57609,0.09348495
OR10K1,0.57608616,0.10034735
TEX101,0.5760831,0.09647879
TSPYL2,0.57597554,0.08957887
CSNK1A1,0.5759475,0.09386979
CPLANE2,0.57583594,0.087265894
AAA1,0.5757597,0.07418941
LINC00307,0.5757546,0.09610898
SPINLW1,0.5757442,0.083536774
ABRAXAS2,0.57573754,0.07968561
HEXD,0.57564646,0.08408728
PRPH2,0.5756444,0.076634794
SRPK1,0.57555264,0.07771012
CTPS1,0.5754606,0.081679426
RCAN2,0.57535267,0.081331626
MGC24103,0.5752633,0.11093423
TUBB4A,0.5751311,0.12375464
C11orf76,0.57488316,0.074339546
FGF8,0.5747577,0.112553425
STMN1,0.57475364,0.12456933
KCTD6,0.5744789,0.09865782
UBTF,0.5742893,0.12609676
LANCL3,0.5741056,0.07848474
CRYGS,0.5740717,0.09658962
RHBDD1,0.57397276,0.10138989
SCGB1D1,0.5738945,0.08224136
NDUFB6,0.57385,0.09365343
UBE2DNL,0.57384413,0.07271398
H19,0.5738363,0.07301705
LINC02817,0.57383543,0.09270858
PADI3,0.5736402,0.07700592
OPRM1,0.573626,0.0950964
NEXN-AS1,0.57349813,0.07844934
ZBP1,0.57347524,0.14493775
LSM3,0.5734461,0.087874286
SDF2L1,0.5734104,0.085892335
ANO8,0.57335305,0.08202945
FRMD1,0.5733061,0.079171345
GTF2A1L,0.57329714,0.09417383
PPP2R2D,0.57328415,0.08095021
LINC-PINT,0.57326025,0.10139045
KIAA1257,0.57315844,0.095930435
PDZRN3,0.573015,0.09227867
CD200R1L,0.57300174,0.09602764
SMIM13,0.5729624,0.12261207
MARK2P21,0.5729597,0.09764012
BRD8,0.5729275,0.086290404
IRAK1,0.5729079,0.08564196
CDC25C,0.572898,0.06976161
CLEC4M,0.572719,0.09286373
INPP5F,0.57253003,0.095525816
PAX2,0.5725249,0.13088489
TM2D3,0.5725035,0.086015165
RAB39B,0.57246625,0.097431295
CFAP36,0.57241076,0.07668201
FAM83H,0.5723391,0.094158135
MAP6D1,0.57227504,0.07096958
FLJ33630,0.57220215,0.07915094
BAIAP2-DT,0.572146,0.07934703
RBP1,0.5720931,0.09457776
ZC3H12B,0.5720007,0.08205542
EDEM3,0.5719987,0.09804514
SPINK14,0.5718162,0.0929809
PTPN3,0.5716382,0.092598066
GLRA3,0.5716267,0.0793604
FDCSP,0.57161605,0.11408437
CFAP53,0.57160795,0.07220634
FOCAD,0.57158655,0.0866724
PPIA,0.5715335,0.12805213
PABPC1,0.5714888,0.07008793
GUSBP3,0.57147074,0.10504565
NAB2,0.5714296,0.08713921
PRKCH,0.5713297,0.08625609
WWC2-AS2,0.5711001,0.08587952
YES1,0.5707997,0.07047779
SLC25A3,0.57069933,0.10776984
ZNF563,0.5706794,0.08145582
PCID2,0.57067937,0.07445806
GTF2H2C,0.5704273,0.105360866
SMURF1,0.5703345,0.078248225
RAD9A,0.57033014,0.0825296
NDUFA10,0.5703027,0.09658764
MEF2BNB,0.5702399,0.090431824
UBAC2,0.569944,0.11243827
APOOL,0.56987363,0.080795206
GUF1,0.56980413,0.09934835
SLC15A3,0.5695496,0.07973641
SPINDOC,0.5693897,0.07560773
EIF4E1B,0.5693243,0.06695905
PROSER2,0.56928605,0.1017606
