Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cellular Glucuronidation (GO:0052695)	1/15	1.416042e-02	6.588074e-02	0	0	7.923413e+01	3.373238e+02	UGT2B17
GO_Biological_Process_2023	Glucuronate Metabolic Process (GO:0019585)	1/15	1.416042e-02	6.588074e-02	0	0	7.923413e+01	3.373238e+02	UGT2B17
GO_Biological_Process_2023	Anterograde Trans-Synaptic Signaling (GO:0098916)	2/199	1.507079e-02	6.588074e-02	0	0	1.181487e+01	4.956335e+01	APBA1;DBH
GO_Biological_Process_2023	Response To UV-B (GO:0010224)	1/16	1.509767e-02	6.588074e-02	0	0	7.394815e+01	3.100805e+02	IL12A
GO_Biological_Process_2023	Regulation Of Natural Killer Cell Activation (GO:0032814)	1/16	1.509767e-02	6.588074e-02	0	0	7.394815e+01	3.100805e+02	IL12A
GO_Biological_Process_2023	Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903587)	1/16	1.509767e-02	6.588074e-02	0	0	7.394815e+01	3.100805e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Proliferation (GO:0070665)	1/17	1.603407e-02	6.610836e-02	0	0	6.932292e+01	2.865143e+02	IL12A
GO_Biological_Process_2023	Regulation Of Lymphocyte Proliferation (GO:0050670)	1/18	1.696963e-02	6.610836e-02	0	0	6.524183e+01	2.659472e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Activation (GO:0032816)	1/18	1.696963e-02	6.610836e-02	0	0	6.524183e+01	2.659472e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635)	1/19	1.790435e-02	6.610836e-02	0	0	6.161420e+01	2.478562e+02	IL12A
GO_Biological_Process_2023	Dopamine Metabolic Process (GO:0042417)	1/19	1.790435e-02	6.610836e-02	0	0	6.161420e+01	2.478562e+02	DBH
